iter	MultiClass
0	2.873383077
1	106.5429842
2	145.7248869
3	173.6780956
4	145.0888404
5	150.4243902
6	147.2514128
7	137.2438815
8	136.3953782
9	163.4854706
10	235.663414
11	291.6463488
12	315.0427287
13	394.1414449
14	413.522623
15	464.2276457
16	550.4960749
17	487.5581754
18	497.3100165
19	504.951078
20	517.9500809
21	527.8020148
22	538.8208923
23	572.5847997
24	561.0357177
25	583.8569214
26	588.3035514
27	586.6477965
28	583.1747023
29	551.8264068
30	589.5864008
31	578.7691217
32	569.0926348
33	560.0815499
34	548.5001163
35	557.3694777
36	562.1150833
37	549.2965194
38	556.7599111
39	567.0150941
40	550.9965593
41	536.8449196
42	522.0527477
43	504.9116534
44	509.9895879
45	527.7654128
46	529.3263458
47	516.223545
48	499.3848488
49	496.3142164
50	493.9698976
51	493.9303753
52	548.8398858
53	503.6785619
54	473.994608
55	464.7649821
56	457.7995547
57	472.1377427
58	479.1337121
59	468.7037413
60	464.2621684
61	464.7770144
62	469.5647429
63	456.5765665
64	453.2427366
65	456.9104992
66	445.2401371
67	440.18814
68	448.2290916
69	451.838096
70	442.0755465
71	446.6396539
72	448.5515632
73	458.2627211
74	446.1222927
75	440.1114959
76	435.7793549
77	441.6606788
78	432.3137198
79	424.743977
80	420.7785905
81	426.5695807
82	416.9492472
83	414.685369
84	409.5860033
85	403.9160194
86	397.2303671
87	401.1319265
88	399.0845882
89	400.2760381
90	402.7841363
91	401.5264735
92	400.4476181
93	398.0685079
94	392.1834487
95	395.3835362
96	389.3385497
97	394.0674209
98	406.918139
99	405.2252783
