iter	Passed	Remaining
0	4051	401140
1	6368	312039
2	8653	279781
3	10697	256728
4	12784	242907
5	14873	233020
6	16838	223717
7	18842	216687
8	20895	211273
9	22917	206261
10	24969	202022
11	27027	198202
12	29156	195124
13	31179	191529
14	33307	188742
15	35554	186658
16	37610	183627
17	39684	180786
18	41725	177881
19	43760	175041
20	45796	172283
21	47872	169730
22	49994	167371
23	52253	165470
24	54488	163465
25	56606	161110
26	58711	158737
27	60840	156447
28	62957	154138
29	64991	151646
30	67067	149278
31	69115	146870
32	71089	144333
33	73247	142185
34	75355	139946
35	77596	137949
36	79774	135831
37	82058	133884
38	84225	131736
39	86521	129782
40	89193	128352
41	91371	126179
42	93644	124133
43	95957	122127
44	98265	120102
45	100490	117966
46	102784	115905
47	104887	113628
48	107188	111564
49	109572	109572
50	111983	107591
51	114440	105637
52	116768	103549
53	119119	101472
54	121437	99357
55	123652	97155
56	125899	94976
57	128285	92896
58	130555	90724
59	132799	88533
60	135180	86427
61	137461	84250
62	139941	82187
63	142257	80019
64	144593	77858
65	147018	75736
66	149337	73554
67	151684	71380
68	154491	69409
69	156767	67185
70	158958	64926
71	161023	62620
72	163087	60320
73	165149	58025
74	167187	55729
75	169205	53433
76	171256	51154
77	173339	48890
78	175459	46641
79	177507	44376
80	179728	42158
81	181802	39907
82	183818	37649
83	185868	35403
84	187990	33174
85	190051	30938
86	192120	28707
87	194497	26522
88	196611	24300
89	198765	22085
90	200853	19864
91	203015	17653
92	205195	15444
93	207437	13240
94	209663	11034
95	211763	8823
96	213883	6614
97	216097	4410
98	218259	2204
99	220458	0
